WE(1).Potential (V),Time (s),WE(1).Current (A)
-0.000155639648437497,2.26685399427674,-4.12139892578125E-06
-0.000146484375000006,2.2768539942515,-4.127197265625E-06
-0.0001373291015625,2.28685399422625,-4.1021728515625E-06
-0.000128173828124994,2.296853994201,-4.08966064453125E-06
-0.000125122070312497,2.30685399417575,-4.08966064453125E-06
-0.000140380859374997,2.31685399415051,-4.05548095703125E-06
-0.000155639648437497,2.32685399412526,-4.0667724609375E-06
-0.000134277343750003,2.33685399410001,-4.04571533203125E-06
-0.000143432617187494,2.34685399407476,-4.0283203125E-06
-0.000143432617187494,2.35685399404952,-4.0411376953125E-06
-0.0001678466796875,2.36685399402427,-4.0118408203125E-06
-0.000152587890625,2.37685399399902,-4.0240478515625E-06
-0.000152587890625,2.38685399397377,-4.002685546875E-06
-0.000161743164062506,2.39685399394853,-3.9959716796875E-06
-0.000143432617187494,2.40685399392328,-4.00848388671875E-06
-0.000173950195312494,2.41685399389803,-3.96759033203125E-06
-0.000164794921875003,2.42685399387278,-3.98162841796875E-06
-0.000152587890625,2.43685399384754,-3.97430419921875E-06
-0.000125122070312497,2.44685399382229,-3.9422607421875E-06
-0.000152587890625,2.45685399379704,-3.96453857421875E-06
-0.0001373291015625,2.46685399377179,-3.92791748046875E-06
-0.000146484375000006,2.47685399374654,-3.94378662109375E-06
-0.000152587890625,2.4868539937213,-3.919677734375E-06
-0.000143432617187494,2.49685399369605,-3.90594482421875E-06
-0.000119018554687503,2.5068539936708,-3.92333984375E-06
-0.000155639648437497,2.51685399364555,-3.88641357421875E-06
-0.000155639648437497,2.52685399362031,-3.9031982421875E-06
-0.000140380859374997,2.53685399359506,-3.8848876953125E-06
-0.000109863281249997,2.54685399356981,-3.87481689453125E-06
-0.000146484375000006,2.55685399354456,-3.87908935546875E-06
-0.000155639648437497,2.56685399351932,-3.8409423828125E-06
-0.000155639648437497,2.57685399349407,-3.84490966796875E-06
-0.000119018554687503,2.58685399346882,-3.8482666015625E-06
-0.000152587890625,2.59685399344357,-3.84124755859375E-06
-0.000128173828124994,2.60685399341833,-3.83941650390625E-06
-0.000112915039062494,2.61685399339308,-3.80584716796875E-06
-0.0001373291015625,2.62685399336783,-3.8140869140625E-06
-0.0001068115234375,2.63685399334258,-3.79669189453125E-06
-0.000119018554687503,2.64685399331734,-3.78662109375E-06
-0.000143432617187494,2.65685399329209,-3.79058837890625E-06
-0.0001373291015625,2.66685399326684,-3.7530517578125E-06
-0.000149536132812503,2.67685399324159,-3.77105712890625E-06
-0.000149536132812503,2.68685399321635,-3.76220703125E-06
-0.000155639648437497,2.6968539931911,-3.7420654296875E-06
-0.000155639648437497,2.70685399316585,-3.7506103515625E-06
-0.000115966796875006,2.7168539931406,-3.72161865234375E-06
